run_id,arch,level,mode,seed,lr,best_val_acc,train_time_s,epochs_ran,top1_page,top5_page,macro_f1_page,map_line,top1_retrieval,n_params,throughput_img_s,gpu_name,torch_version,timm_version
resnet50_L1_scratch_s1,resnet50,1,scratch,1,0.0003,0.05177993527508091,418.50753140449524,20,0.032467532467532464,0.18506493506493507,0.005257491365239549,0.07484400709022264,0.09799196787148594,24139124,156.21482511553018,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
convnext_tiny_L1_scratch_s1,convnext_tiny,1,scratch,1,0.0003,0.016181229773462782,691.129830121994,33,0.006493506493506494,0.032467532467532464,0.0003757609158546055,0.011979344958225249,0.007228915662650603,28056980,146.64856190760153,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
efficientnetv2_s_L1_scratch_s1,efficientnetv2_s,1,scratch,1,0.0003,0.3074433656957929,1130.4574766159058,57,0.4025974025974026,0.7045454545454546,0.3367385590599876,0.10713709972849836,0.15220883534136545,20572036,157.12423548407043,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
vit_small_L1_scratch_s1,vit_small,1,scratch,1,0.0003,0.11003236245954692,925.8208508491516,47,0.1038961038961039,0.3181818181818182,0.05451270439749702,0.06939962031153668,0.08032128514056225,21784244,146.72584900282766,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
swin_tiny_L1_scratch_s1,swin_tiny,1,scratch,1,0.0003,0.012944983818770227,377.05277013778687,19,0.00974025974025974,0.048701298701298704,0.0009471019368380072,0.012195429077992781,0.010843373493975903,27756206,150.6457254283522,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
resnet50_L2_scratch_s1,resnet50,2,scratch,1,0.0003,0.39344262295081966,1869.5188324451447,50,0.5194805194805194,0.8344155844155844,0.4370718567147138,0.2095496886868619,0.2895582329317269,24139124,159.51583316324783,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
convnext_tiny_L2_scratch_s1,convnext_tiny,2,scratch,1,0.0003,0.018214936247723135,1258.4407572746277,35,0.016233766233766232,0.06168831168831169,0.002308838867354722,0.01497930825430149,0.008032128514056224,28056980,157.2720560305524,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
efficientnetv2_s_L2_scratch_s1,efficientnetv2_s,2,scratch,1,0.0003,0.36429872495446264,1435.5477254390717,43,0.6525974025974026,0.8928571428571429,0.5790120593692022,0.18532056528348093,0.26184738955823295,20572036,174.71503810766714,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
vit_small_L2_scratch_s1,vit_small,2,scratch,1,0.0003,0.11657559198542805,1626.541187286377,46,0.21428571428571427,0.5032467532467533,0.12380437023294166,0.0779414496938867,0.08835341365461848,21784244,175.29183328830115,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
swin_tiny_L2_scratch_s1,swin_tiny,2,scratch,1,0.0003,0.012750455373406194,667.3735032081604,21,0.006493506493506494,0.025974025974025976,0.00011438561438561439,0.012477156334407939,0.007630522088353414,27756206,174.83900952333505,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
resnet50_L3_scratch_s1,resnet50,3,scratch,1,0.0003,0.2951251646903821,1210.7572066783905,26,0.38961038961038963,0.7467532467532467,0.2999871160585446,0.17336542279702244,0.2397590361445783,24139124,170.3496917683283,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
convnext_tiny_L3_scratch_s1,convnext_tiny,3,scratch,1,0.0003,0.32938076416337286,4146.631822824478,89,0.6298701298701299,0.8766233766233766,0.5632189239332096,0.09627483865667914,0.13534136546184738,28056980,173.4134226035141,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
efficientnetv2_s_L3_scratch_s1,efficientnetv2_s,3,scratch,1,0.0003,0.5625823451910409,3011.153407096863,65,0.8668831168831169,0.9675324675324676,0.8295454545454545,0.24779718731065797,0.3582329317269076,20572036,159.3389350504566,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
vit_small_L3_scratch_s1,vit_small,3,scratch,1,0.0003,0.2977602108036891,2270.430834054947,48,0.4642857142857143,0.8051948051948052,0.3776205936920222,0.12065590001430399,0.163855421686747,21784244,168.2171775297986,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
swin_tiny_L3_scratch_s1,swin_tiny,3,scratch,1,0.0003,0.017127799736495388,1283.9493954181671,27,0.006493506493506494,0.05519480519480519,0.0009621837129435913,0.012937618354610743,0.008835341365461847,27756206,166.9260847484712,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
resnet50_L4_scratch_s1,resnet50,4,scratch,1,0.0003,0.3889943074003795,2315.4049863815308,37,0.5714285714285714,0.8733766233766234,0.48913883735312313,0.2606574167344651,0.3706827309236948,24139124,164.03861992914426,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
convnext_tiny_L4_scratch_s1,convnext_tiny,4,scratch,1,0.0003,0.4032258064516129,5674.216034173965,91,0.8344155844155844,0.9415584415584416,0.7916666666666666,0.13200201816789572,0.19518072289156627,28056980,178.61092512606194,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
efficientnetv2_s_L4_scratch_s1,efficientnetv2_s,4,scratch,1,0.0003,0.5692599620493358,3203.8583331108093,51,0.8961038961038961,0.9707792207792207,0.8647186147186149,0.2842038394925643,0.39477911646586344,20572036,167.69226844007827,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
vit_small_L4_scratch_s1,vit_small,4,scratch,1,0.0003,0.47058823529411764,7977.903859138489,122,0.8084415584415584,0.9448051948051948,0.7588744588744589,0.1800423498119684,0.26385542168674697,21784244,170.8895561072529,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
