run_id,arch,level,mode,seed,lr,best_val_acc,train_time_s,epochs_ran,top1_page,top5_page,macro_f1_page,map_line,top1_retrieval,n_params,throughput_img_s,gpu_name,torch_version,timm_version
resnet50_L2_pretrained_s1,resnet50,2,pretrained,1,0.0003,0.604735883424408,1084.3069486618042,32,0.8603896103896104,0.9642857142857143,0.8227272727272726,0.2961403625015796,0.40803212851405624,24139124,181.70845408005613,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
convnext_tiny_L2_pretrained_s1,convnext_tiny,2,pretrained,1,0.0001,0.6867030965391621,1405.8563644886017,40,0.9318181818181818,0.9837662337662337,0.9090909090909091,0.3838714493723939,0.5261044176706827,28056980,173.18775931772777,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
efficientnetv2_s_L2_pretrained_s1,efficientnetv2_s,2,pretrained,1,0.0003,0.5956284153005464,771.9001677036285,22,0.8863636363636364,0.9707792207792207,0.8522727272727273,0.3273460092306285,0.4606425702811245,20572036,183.42792975577734,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
vit_small_L2_pretrained_s1,vit_small,2,pretrained,1,0.0003,0.6593806921675774,1319.30330824852,40,0.935064935064935,0.9707792207792207,0.9145021645021644,0.3517784673119964,0.4714859437751004,21784244,179.6972042159107,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
swin_tiny_L2_pretrained_s1,swin_tiny,2,pretrained,1,0.0003,0.6885245901639344,1375.4875872135162,40,0.948051948051948,0.9772727272727273,0.9312770562770564,0.39483367115850143,0.5477911646586345,27756206,130.63492387517908,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
resnet50_L3_pretrained_s1,resnet50,3,pretrained,1,0.0003,0.7180500658761528,2057.3877098560333,40,0.9448051948051948,0.9935064935064936,0.9285714285714286,0.34720944203841236,0.47309236947791167,24139124,138.8488291710283,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
convnext_tiny_L3_pretrained_s1,convnext_tiny,3,pretrained,1,0.0001,0.7918313570487484,1973.4321777820587,40,0.9577922077922078,0.9837662337662337,0.9437229437229436,0.4599616070604102,0.6080321285140562,28056980,178.57021025318053,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
efficientnetv2_s_L3_pretrained_s1,efficientnetv2_s,3,pretrained,1,0.0003,0.7562582345191041,1798.6899199485779,34,0.9707792207792207,0.9902597402597403,0.961038961038961,0.43967332553540167,0.5879518072289157,20572036,177.70030002679505,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
vit_small_L3_pretrained_s1,vit_small,3,pretrained,1,0.0003,0.7707509881422925,2125.3392474651337,40,0.961038961038961,0.9902597402597403,0.9491341991341993,0.42780968889560517,0.5815261044176707,21784244,169.53103701975706,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
swin_tiny_L3_pretrained_s1,swin_tiny,3,pretrained,1,0.0003,0.7760210803689065,2012.0621569156647,40,0.9805194805194806,0.9837662337662337,0.9751082251082253,0.4559876782973697,0.6080321285140562,27756206,163.98316885190943,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
resnet50_L4_pretrained_s1,resnet50,4,pretrained,1,0.0003,0.7163187855787476,2611.907142162323,40,0.961038961038961,0.9837662337662337,0.948051948051948,0.37664261095891394,0.5116465863453815,24139124,160.05865936967845,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
convnext_tiny_L4_pretrained_s1,convnext_tiny,4,pretrained,1,0.0001,0.7960151802656547,2547.6437559127808,40,0.9642857142857143,0.9902597402597403,0.9534632034632036,0.5049544834574378,0.6582329317269077,28056980,169.09018060860743,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
efficientnetv2_s_L4_pretrained_s1,efficientnetv2_s,4,pretrained,1,0.0003,0.784629981024668,2566.8729424476624,40,0.974025974025974,0.9902597402597403,0.9653679653679655,0.5013536641401809,0.6497991967871486,20572036,184.32076229230924,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
vit_small_L4_pretrained_s1,vit_small,4,pretrained,1,0.0003,0.7666034155597723,2539.067806482315,40,0.9805194805194806,0.9902597402597403,0.974025974025974,0.46954868203492167,0.6228915662650603,21784244,172.64090817189165,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
swin_tiny_L4_pretrained_s1,swin_tiny,4,pretrained,1,0.0003,0.7969639468690702,2586.5460107326508,40,0.987012987012987,0.9902597402597403,0.9826839826839827,0.5003240213502305,0.6526104417670683,27756206,162.1954227879338,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
resnet50_L1_pretrained_s2,resnet50,1,pretrained,2,0.0003,0.4855305466237942,702.3910155296326,38,0.7272727272727273,0.8831168831168831,0.6633116883116883,0.2134140670578384,0.29518072289156627,24139124,169.8321213231429,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
convnext_tiny_L1_pretrained_s2,convnext_tiny,1,pretrained,2,0.0001,0.5755627009646302,686.3845055103302,37,0.7922077922077922,0.9188311688311688,0.7348484848484848,0.2621096077046887,0.37710843373493974,28056980,165.49812798750432,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
efficientnetv2_s_L1_pretrained_s2,efficientnetv2_s,1,pretrained,2,0.0003,0.5209003215434084,748.5161075592041,40,0.7142857142857143,0.8896103896103896,0.648051948051948,0.22465045351825397,0.321285140562249,20572036,154.93353822184213,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
vit_small_L1_pretrained_s2,vit_small,1,pretrained,2,0.0003,0.5530546623794212,694.762778043747,36,0.7792207792207793,0.9090909090909091,0.726948051948052,0.2500114019565937,0.3602409638554217,21784244,164.2554650067368,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
swin_tiny_L1_pretrained_s2,swin_tiny,1,pretrained,2,0.0003,0.6141479099678456,691.1320724487305,38,0.8051948051948052,0.9188311688311688,0.7534632034632034,0.2809414625113952,0.3931726907630522,27756206,154.51797086296884,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
resnet50_L2_pretrained_s2,resnet50,2,pretrained,2,0.0003,0.5992647058823529,924.2922005653381,27,0.827922077922078,0.9545454545454546,0.7816017316017316,0.29362264841029156,0.40401606425702813,24139124,174.00715357878292,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
