run_id,scenario,arch,level,mode,seed,lr,best_val_acc,train_time_s,epochs_ran,top1_page,top5_page,macro_f1_page,map_line,top1_retrieval,n_params,throughput_img_s,gpu_name,torch_version,timm_version
swin_tiny_L1_FT1_s2,FT1,swin_tiny,1,pretrained,2,0.0003,0.842443729903537,821.4217686653137,40,0.9577922077922078,0.9707792207792207,0.9437229437229436,0.8529377066116982,0.9590361445783132,27756206,38.981554623289675,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
swin_tiny_L1_FT2_s2,FT2,swin_tiny,1,pretrained,2,0.0003,0.6109324758842444,776.008355140686,38,0.8116883116883117,0.9512987012987013,0.7594155844155844,0.2833930122885707,0.41044176706827307,27756206,154.2932708798066,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
swin_tiny_L1_FT3_s2,FT3,swin_tiny,1,pretrained,2,0.0003,0.5659163987138264,772.5011982917786,38,0.7662337662337663,0.9253246753246753,0.7123376623376623,0.2458512349123701,0.3469879518072289,27756206,144.807582581805,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
swin_tiny_L1_FT4_s2,FT4,swin_tiny,1,pretrained,2,0.0003,0.6527331189710611,856.9392986297607,40,0.8441558441558441,0.9383116883116883,0.8014069264069265,0.34965508842701376,0.4742971887550201,27755898,153.62127629010413,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
swin_tiny_L1_AUG_s2,AUG,swin_tiny,1,pretrained,2,0.0003,0.6559485530546624,824.3441081047058,39,0.8506493506493507,0.9415584415584416,0.8090445269016697,0.3363269065025175,0.47309236947791167,27756206,136.91390030804857,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
swin_tiny_L1_FT1_s3,FT1,swin_tiny,1,pretrained,3,0.0003,0.7022653721682848,862.665611743927,40,0.9188311688311688,0.9707792207792207,0.893939393939394,0.8285500488179011,0.9502008032128514,27756206,38.316266287807885,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
swin_tiny_L1_FT2_s3,FT2,swin_tiny,1,pretrained,3,0.0003,0.5242718446601942,857.0357148647308,40,0.801948051948052,0.9285714285714286,0.7505411255411255,0.2669094209252798,0.38835341365461845,27756206,138.2796076174545,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
swin_tiny_L1_FT3_s3,FT3,swin_tiny,1,pretrained,3,0.0003,0.5080906148867314,716.7249135971069,38,0.7597402597402597,0.9090909090909091,0.7023809523809523,0.25460910350478105,0.3714859437751004,27756206,153.918580330585,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
swin_tiny_L1_FT4_s3,FT4,swin_tiny,1,pretrained,3,0.0003,0.5533980582524272,766.0707716941833,40,0.8474025974025974,0.9253246753246753,0.8043290043290043,0.3375877205162422,0.4674698795180723,27755898,165.4547725476635,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
swin_tiny_L1_AUG_s3,AUG,swin_tiny,1,pretrained,3,0.0003,0.5760517799352751,729.6486539840698,39,0.7824675324675324,0.9155844155844156,0.7317640692640692,0.29107211914643316,0.39518072289156625,27756206,172.62139588463975,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
swin_tiny_L1_FT1_s4,FT1,swin_tiny,1,pretrained,4,0.0003,0.8122977346278317,704.7568817138672,40,0.961038961038961,0.9805194805194806,0.948051948051948,0.8605464795626452,0.9646586345381526,27756206,38.68645851280787,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
swin_tiny_L1_FT2_s4,FT2,swin_tiny,1,pretrained,4,0.0003,0.6213592233009708,758.4624025821686,40,0.8116883116883117,0.948051948051948,0.7586580086580086,0.28723969130763394,0.40481927710843374,27756206,168.3093276685175,NVIDIA RTX PRO 4000 Blackwell,2.13.0+cu130,1.0.28
