run_id,arch,level,mode,seed,best_val_acc,train_time_s,epochs_ran,top1_page,top5_page,macro_f1_page,map_line,top1_retrieval,n_params,throughput_img_s
convnext_tiny_L1_scratch_s1,convnext_tiny,1,scratch,1,0.0064724919093851,140.2994282245636,14,0.0032467532467532,0.0162337662337662,2.101458412138024e-05,0.0123995016802969,0.0064257028112449,28056980,26.292225184529837
efficientnetv2_s_L1_pretrained_s1,efficientnetv2_s,1,pretrained,1,0.4660194174757281,230.43071055412287,21,0.7175324675324676,0.8668831168831169,0.6576839826839826,0.2130865695850037,0.3180722891566265,20572036,26.731805433715543
efficientnetv2_s_L1_scratch_s1,efficientnetv2_s,1,scratch,1,0.2588996763754045,467.56064438819885,43,0.3603896103896103,0.6785714285714286,0.2996961732351342,0.1105155995598361,0.1469879518072289,20572036,27.18338300543349
vit_small_L1_pretrained_s1,vit_small,1,pretrained,1,0.4789644012944983,291.28847670555115,35,0.6948051948051948,0.8831168831168831,0.6294372294372294,0.2260265743602046,0.3265060240963855,21784244,23.164282725797527
vit_small_L1_scratch_s1,vit_small,1,scratch,1,0.0097087378640776,107.14023232460022,13,0.0064935064935064,0.0227272727272727,0.0007442849548112,0.0143445187817,0.0136546184738955,21784244,25.860839354449247
swin_tiny_L1_pretrained_s1,swin_tiny,1,pretrained,1,0.4854368932038835,470.07644033432007,40,0.6948051948051948,0.8733766233766234,0.6261904761904762,0.2421145420836001,0.3309236947791165,27756206,24.840506324513505
swin_tiny_L1_scratch_s1,swin_tiny,1,scratch,1,0.0161812297734627,198.8131287097931,17,0.0097402597402597,0.0292207792207792,0.0009702439137923,0.0119572952838829,0.0100401606425702,27756206,25.90163316354628
resnet50_L2_pretrained_s1,resnet50,2,pretrained,1,0.5628415300546448,365.0774748325348,24,0.8571428571428571,0.9545454545454546,0.8154761904761905,0.2772094883789466,0.3959839357429718,24139124,25.585330950488185
resnet50_L2_scratch_s1,resnet50,2,scratch,1,0.2167577413479053,550.275778055191,36,0.3181818181818182,0.6558441558441559,0.2330473819110182,0.1662262300563917,0.2365461847389558,24139124,26.696039914315865
convnext_tiny_L2_scratch_s1,convnext_tiny,2,scratch,1,0.0091074681238615,265.0779390335083,16,0.0032467532467532,0.0194805194805194,2.450379808870375e-05,0.0133009300830382,0.0108433734939759,28056980,25.91236632961251
efficientnetv2_s_L2_pretrained_s1,efficientnetv2_s,2,pretrained,1,0.6229508196721312,701.8641593456268,38,0.8993506493506493,0.961038961038961,0.8717532467532467,0.3367630094399199,0.4650602409638554,20572036,23.23980970668207
efficientnetv2_s_L2_scratch_s1,efficientnetv2_s,2,scratch,1,0.4080145719489982,1215.4576635360718,66,0.7435064935064936,0.905844155844156,0.6866883116883117,0.1989230250712682,0.2891566265060241,20572036,25.328696244572026
vit_small_L2_pretrained_s1,vit_small,2,pretrained,1,0.6120218579234973,524.1127994060516,40,0.8733766233766234,0.948051948051948,0.8376623376623377,0.3208748406749098,0.4353413654618474,21784244,25.544733838200923
